Month,TOTAL CONSTRUCTION,PRIVATE CONSTRUCTION,RESIDENTIAL BUILDINGS,NEW HOUSING UNITS,1 UNIT,2 OR MORE UNITS,IMPROVEMENTS,NONRESIDENTIAL BUILDINGS,INDUSTRIAL,OFFICE,"HOTELS, MOTELS",OTHER COMMERCIAL,RELIGIOUS,EDUCATIONAL,HOSPITAL AND INSTITUTIONAL,MISCELLANEOUS,FARM NONRESIDENTIAL,PUBLIC UTILITIES,TELECOMMUNICATIONS,RAILROAD,ELECTRIC LIGHT AND POWER,GAS,PETROLEUM PIPELINES,ALL OTHER PRIVATE,PUBLIC CONSTRUCTION,BUILDINGS,HOUSING AND REDEVELOPMENT,INDUSTRIAL,EDUCATIONAL,HOSPITAL,OTHER,HIGHWAYS AND STREETS,MILITARY FACILITIES,CONSERVATION AND DEVELOPMENT,OTHER PUBLIC CONSTRUCTION,SEWER SYSTEMS,WATER SUPPLY FACILITIES,MISCELLANEOUS NONBUILDING
10/1/95,52083,39613,23132,16175,14571,1605,(NA),12594,3206,2088,641,4118,440,435,1010,657,(NA),(NA),984,(NA),(NA),(NA),(NA),337,12470,5023,430,97,2333,343,1820,4480,156,343,2469,759,444,1266
11/1/95,48404,37265,21686,15604,14046,1558,(NA),12115,3079,2045,767,3833,389,437,977,590,(NA),(NA),970,(NA),(NA),(NA),(NA),289,11139,4883,401,117,2175,366,1823,3276,269,483,2229,733,426,1071
12/1/95,42163,32864,18060,13373,11795,1578,(NA),11627,3117,2012,795,3487,327,363,948,579,(NA),(NA),885,(NA),(NA),(NA),(NA),293,9299,4423,383,111,1962,339,1628,2313,295,458,1809,594,349,866
1/1/96,39365,30883,17253,12360,10923,1437,(NA),10852,2928,1814,739,3211,317,395,895,554,(NA),(NA),832,(NA),(NA),(NA),(NA),234,8482,4452,381,103,1916,339,1713,1698,256,375,1702,549,283,870
2/1/96,37253,29382,15911,11856,10400,1456,(NA),10971,2834,1904,808,3266,314,420,840,584,(NA),(NA),837,(NA),(NA),(NA),(NA),223,7871,4030,319,103,1767,356,1485,1702,207,368,1565,522,298,745
3/1/96,42144,33519,19444,14041,12447,1594,(NA),11253,2883,1920,814,3396,309,465,847,621,(NA),(NA),859,(NA),(NA),(NA),(NA),238,8625,4410,312,124,1962,380,1632,1849,212,430,1724,592,312,821
4/1/96,47062,36975,21527,15180,13373,1807,(NA),12135,3020,2126,922,3727,340,451,912,637,(NA),(NA),960,(NA),(NA),(NA),(NA),242,10086,4656,311,120,2052,389,1785,2579,220,481,2150,732,418,1001
5/1/96,52334,40579,24693,16338,14441,1897,(NA),12580,3008,2365,823,3958,351,511,976,589,(NA),(NA),990,(NA),(NA),(NA),(NA),241,11755,5219,393,127,2286,399,2014,3420,227,492,2399,796,458,1145
6/1/96,55970,43601,26704,17506,15582,1924,(NA),13372,3198,2514,894,4107,387,641,995,636,(NA),(NA),892,(NA),(NA),(NA),(NA),266,12369,5362,365,129,2472,372,2024,3841,216,510,2441,811,480,1151
7/1/96,57170,43726,27114,18058,16346,1712,(NA),13132,3029,2441,866,4147,360,677,962,651,(NA),(NA),935,(NA),(NA),(NA),(NA),240,13444,5745,434,129,2788,377,2017,4459,197,521,2522,826,496,1201
8/1/96,59796,45728,27919,18469,16717,1752,(NA),13969,3079,2498,1001,4590,411,721,1039,631,(NA),(NA),1068,(NA),(NA),(NA),(NA),276,14069,6043,432,132,3046,336,2097,4527,199,583,2717,1024,511,1182
9/1/96,60830,45797,27761,18232,16539,1693,(NA),14423,3428,2594,994,4644,425,650,1045,643,(NA),(NA),952,(NA),(NA),(NA),(NA),230,15034,6307,557,184,2779,470,2317,4701,279,890,2856,990,560,1306
10/1/96,60006,45865,27122,17808,16075,1733,(NA),15015,3826,2589,1000,4748,439,634,1068,711,(NA),(NA),1114,(NA),(NA),(NA),(NA),235,14142,5882,538,60,2631,400,2254,4740,176,443,2901,1142,707,1052
11/1/96,56021,43266,25296,17001,15263,1738,(NA),14483,3549,2614,1002,4433,452,617,1100,716,(NA),(NA),1117,(NA),(NA),(NA),(NA),200,12755,5942,545,91,2594,365,2348,3442,204,505,2663,1000,590,1072
12/1/96,47948,37318,20371,14266,12685,1581,(NA),13675,3384,2507,1050,3962,430,560,1104,678,(NA),(NA),1255,(NA),(NA),(NA),(NA),180,10630,5423,462,88,2297,435,2141,2508,200,410,2089,814,506,768
1/1/97,43866,34491,19196,13042,11553,1488,(NA),12672,2868,2464,939,3780,367,536,1068,650,(NA),(NA),852,(NA),(NA),(NA),(NA),155,9374,5049,411,89,2192,413,1944,1780,199,427,1921,724,453,744
2/1/97,42193,32632,17537,12725,11012,1713,(NA),12928,2903,2623,972,3763,376,545,1084,662,(NA),(NA),825,(NA),(NA),(NA),(NA),145,9561,5082,416,79,2231,407,1949,1839,169,398,2072,728,475,870
3/1/97,47170,36527,20950,14852,13090,1762,(NA),13097,2736,2520,1026,3897,434,551,1168,766,(NA),(NA),916,(NA),(NA),(NA),(NA),171,10643,5444,414,88,2450,410,2081,2177,191,469,2363,823,550,990
4/1/97,50827,39081,22388,15701,13865,1836,(NA),13668,2901,2531,1051,4067,456,678,1188,797,(NA),(NA),1042,(NA),(NA),(NA),(NA),176,11746,5722,444,112,2592,449,2124,3015,185,439,2385,862,517,1006
5/1/97,55492,42700,25270,16847,14747,2100,(NA),14197,2972,2643,1151,4319,484,715,1103,811,(NA),(NA),1013,(NA),(NA),(NA),(NA),185,12792,5741,476,74,2713,387,2092,3713,215,455,2667,961,547,1160
6/1/97,58742,44704,26518,17565,15556,2009,(NA),14661,3097,2783,1163,4497,443,817,1089,773,(NA),(NA),1060,(NA),(NA),(NA),(NA),195,14038,6271,438,95,3184,434,2119,4402,224,442,2699,991,546,1162
7/1/97,60813,46127,26877,18221,16332,1888,(NA),15418,3306,3018,1163,4738,469,874,1060,791,(NA),(NA),1142,(NA),(NA),(NA),(NA),214,14686,6410,448,92,3366,419,2085,4785,236,468,2787,958,581,1248
8/1/97,62784,47456,27536,18668,16646,2022,(NA),15823,3338,3079,1121,4917,493,898,1176,803,(NA),(NA),1062,(NA),(NA),(NA),(NA),238,15328,6540,421,80,3547,394,2099,5122,245,517,2903,955,560,1389
9/1/97,63077,47885,27737,18752,16754,1998,(NA),16000,3460,3124,1086,4870,562,848,1221,830,(NA),(NA),1158,(NA),(NA),(NA),(NA),233,15192,6513,476,98,3143,496,2301,4784,273,755,2866,1006,593,1266
10/1/97,61693,47405,27530,18638,16466,2173,(NA),15804,3430,3254,1115,4675,583,789,1164,794,(NA),(NA),1195,(NA),(NA),(NA),(NA),270,14287,6254,539,56,3026,439,2194,4604,196,387,2846,961,622,1264
11/1/97,56731,44430,25986,17764,15796,1968,(NA),15003,3211,3171,1050,4321,574,748,1153,775,(NA),(NA),1026,(NA),(NA),(NA),(NA),236,12301,5565,436,66,2585,390,2089,3701,230,402,2403,837,570,997
12/1/97,50042,39294,21490,15288,13362,1926,(NA),14603,3403,3098,1062,3965,537,694,1073,772,(NA),(NA),1124,(NA),(NA),(NA),(NA),175,10748,5269,381,71,2523,338,1957,2681,191,466,2141,710,479,951
1/1/98,46015,36829,20688,14230,12383,1847,(NA),13540,2960,3127,999,3586,483,684,1044,656,(NA),(NA),809,(NA),(NA),(NA),(NA),187,9186,4882,361,76,2299,312,1836,1923,188,335,1858,637,418,804
2/1/98,44147,35114,18914,13693,11835,1858,(NA),13622,3000,3087,989,3599,489,730,1064,664,(NA),(NA),892,(NA),(NA),(NA),(NA),173,9032,4841,356,79,2249,291,1866,1889,187,411,1704,599,421,683
3/1/98,50605,40732,23063,16295,14322,1973,(NA),14659,3363,3185,1065,3973,486,786,1119,683,(NA),(NA),1110,(NA),(NA),(NA),(NA),187,9873,5077,386,95,2292,359,1944,2297,237,403,1860,675,426,758
4/1/98,55163,43903,24792,17440,15383,2057,(NA),15559,3349,3431,1158,4236,495,850,1196,845,(NA),(NA),1005,(NA),(NA),(NA),(NA),185,11259,5497,414,84,2588,290,2122,3084,204,380,2094,712,499,883
5/1/98,59215,47123,27499,18410,16358,2051,(NA),15676,3345,3549,1099,4402,464,891,1157,768,(NA),(NA),1032,(NA),(NA),(NA),(NA),204,12092,5725,406,81,2742,330,2165,3529,199,416,2224,748,535,940
6/1/98,65693,51097,29291,19867,17763,2104,(NA),16850,3506,3762,1321,4833,526,909,1168,825,(NA),(NA),1100,(NA),(NA),(NA),(NA),259,14596,6623,474,78,3367,334,2371,4628,225,495,2624,869,531,1224
7/1/98,66371,51059,29924,21069,18904,2166,(NA),16419,3340,3533,1285,4894,541,854,1138,834,(NA),(NA),1058,(NA),(NA),(NA),(NA),217,15312,7033,526,93,3629,322,2462,4776,279,477,2747,921,592,1234
8/1/98,67997,52033,30076,21394,19320,2074,(NA),17005,3640,3483,1360,4960,604,895,1194,869,(NA),(NA),1049,(NA),(NA),(NA),(NA),247,15963,7063,448,88,3682,313,2532,5340,241,500,2819,947,604,1269
9/1/98,68093,51568,29938,21517,19373,2144,(NA),17016,3614,3598,1409,4903,614,851,1197,831,(NA),(NA),1082,(NA),(NA),(NA),(NA),236,16525,7034,470,108,3411,401,2644,5378,225,771,3117,1000,664,1453
10/1/98,65764,50629,29351,21329,19113,2217,(NA),17271,3583,3835,1436,4993,640,744,1165,876,(NA),(NA),1192,(NA),(NA),(NA),(NA),234,15135,6505,461,58,3069,351,2566,5217,157,380,2876,1018,722,1136
11/1/98,61819,48412,27868,20741,18645,2096,(NA),16864,3417,3865,1349,4823,644,759,1174,834,(NA),(NA),1046,(NA),(NA),(NA),(NA),239,13407,6160,457,91,2839,312,2462,3810,189,468,2780,973,662,1145
12/1/98,54805,42884,23205,17999,16012,1987,(NA),16230,3367,3772,1347,4397,607,745,1177,818,(NA),(NA),1084,(NA),(NA),(NA),(NA),204,11921,5978,430,79,2835,308,2326,2805,198,430,2509,843,604,1062
1/1/99,50219,39828,22135,16763,14806,1956,(NA),14557,2802,3596,1304,3829,571,614,1056,786,(NA),(NA),880,(NA),(NA),(NA),(NA),168,10391,5453,377,64,2673,306,2033,2186,147,396,2209,747,485,977
2/1/99,49740,39024,20573,16084,14063,2022,(NA),14994,2716,3754,1410,3986,555,647,1108,819,(NA),(NA),994,(NA),(NA),(NA),(NA),167,10716,5587,361,69,2671,359,2127,2321,175,433,2202,692,512,998
3/1/99,56797,45071,25218,19215,16989,2226,(NA),15781,2828,3844,1432,4357,574,723,1137,886,(NA),(NA),1461,(NA),(NA),(NA),(NA),209,11726,5952,411,85,2833,318,2305,2748,188,468,2370,807,541,1023
4/1/99,59656,46575,26756,20090,17815,2274,(NA),15990,2711,3875,1383,4536,600,827,1145,914,(NA),(NA),1479,(NA),(NA),(NA),(NA),245,13081,6322,422,76,3196,293,2335,3502,179,452,2626,814,556,1257
5/1/99,63901,50048,30021,21288,18948,2340,(NA),16329,2672,4015,1354,4841,599,798,1149,901,(NA),(NA),1294,(NA),(NA),(NA),(NA),239,13853,6379,460,83,3245,326,2265,4137,179,421,2737,877,582,1277
6/1/99,69070,53604,32110,22478,20069,2409,(NA),16705,2851,4050,1296,4979,628,946,1109,847,(NA),(NA),1472,(NA),(NA),(NA),(NA),243,15467,7159,429,73,3935,354,2369,4738,186,504,2880,957,609,1314
7/1/99,70860,54863,32882,23208,20820,2388,(NA),16708,2816,3964,1346,5071,628,955,1083,846,(NA),(NA),1638,(NA),(NA),(NA),(NA),251,15997,7347,434,89,4061,350,2412,5023,195,496,2935,941,667,1327
8/1/99,72514,55364,33754,23545,21068,2477,(NA),16916,2767,4169,1277,5127,669,930,1137,840,(NA),(NA),1747,(NA),(NA),(NA),(NA),239,17150,7796,463,70,4383,330,2550,5514,142,599,3100,971,659,1470
9/1/99,72650,55433,33907,23362,20938,2424,(NA),17027,2739,4325,1266,5199,638,828,1164,867,(NA),(NA),1694,(NA),(NA),(NA),(NA),232,17217,7600,493,112,3990,383,2623,5613,207,783,3014,966,636,1412
10/1/99,70888,55013,33756,22959,20582,2376,(NA),16689,2597,4184,1251,5143,680,800,1180,856,(NA),(NA),1818,(NA),(NA),(NA),(NA),226,15874,7124,459,45,3648,353,2619,5102,150,427,3073,977,631,1465
11/1/99,68707,53803,32343,22476,20186,2290,(NA),16589,2547,4015,1326,5225,641,803,1163,869,(NA),(NA),1934,(NA),(NA),(NA),(NA),237,14904,6815,418,72,3368,351,2605,4446,171,573,2899,920,589,1391
12/1/99,61061,47705,27107,19804,17553,2251,(NA),15651,2594,3792,1308,4624,587,776,1100,871,(NA),(NA),1994,(NA),(NA),(NA),(NA),254,13356,6444,419,88,3076,347,2513,3571,208,568,2566,856,503,1207
1/1/00,55785,43930,26074,18625,16492,2133,(NA),14405,2154,3601,1324,4180,579,733,1039,795,(NA),(NA),1229,(NA),(NA),(NA),(NA),174,11855,6215,364,93,3130,336,2292,2847,138,442,2213,719,503,991
2/1/00,55246,43635,24162,17867,15758,2109,(NA),15526,2338,3935,1318,4619,619,778,1070,849,(NA),(NA),1196,(NA),(NA),(NA),(NA),197,11611,6318,345,96,3149,333,2394,2319,210,500,2264,713,515,1036
3/1/00,63319,50105,29183,21167,18750,2417,(NA),16359,2498,4299,1434,4612,629,842,1134,913,(NA),(NA),1552,(NA),(NA),(NA),(NA),216,13214,6623,409,92,3287,347,2488,3255,210,523,2603,798,502,1303
4/1/00,66089,51760,30783,22036,19585,2451,(NA),16634,2543,4423,1410,4727,625,850,1186,871,(NA),(NA),1277,(NA),(NA),(NA),(NA),204,14330,7000,421,91,3401,395,2691,3917,180,488,2744,933,568,1243
5/1/00,71656,56151,33472,23250,20743,2507,(NA),17806,2791,4822,1421,5027,636,1012,1181,919,(NA),(NA),1527,(NA),(NA),(NA),(NA),215,15505,7392,422,89,3678,433,2769,4503,200,470,2940,901,620,1418
6/1/00,74998,58270,35145,24111,21552,2559,(NA),18098,2859,4689,1441,5287,691,1037,1204,890,(NA),(NA),1683,(NA),(NA),(NA),(NA),234,16728,8081,434,97,4232,442,2877,4917,197,535,2997,992,571,1434
7/1/00,74255,57569,34347,24199,21882,2317,(NA),17934,2740,4650,1387,5274,717,1096,1208,863,(NA),(NA),1403,(NA),(NA),(NA),(NA),246,16686,8072,396,98,4350,426,2802,5173,188,464,2789,877,549,1364
8/1/00,78853,59522,34773,24286,21903,2384,(NA),18892,2820,4970,1376,5609,734,1207,1260,916,(NA),(NA),1583,(NA),(NA),(NA),(NA),308,19332,8778,423,109,4758,430,3057,6608,211,554,3181,945,663,1573
9/1/00,78182,58775,34049,23806,21491,2315,(NA),18744,2793,5151,1329,5628,710,993,1271,870,(NA),(NA),1891,(NA),(NA),(NA),(NA),307,19406,8559,437,125,4379,479,3139,6388,271,826,3363,925,662,1777
10/1/00,76281,58421,33981,23335,20961,2374,(NA),18770,2842,5076,1330,5613,761,990,1299,859,(NA),(NA),1655,(NA),(NA),(NA),(NA),310,17860,8241,452,75,4027,409,3279,5463,146,522,3488,938,696,1854
11/1/00,71712,55815,32004,22684,20286,2398,(NA),18138,2791,5111,1310,5121,696,961,1307,843,(NA),(NA),1764,(NA),(NA),(NA),(NA),288,15898,7549,428,93,3636,418,2974,4404,280,523,3142,867,631,1644
12/1/00,62391,48681,26484,19681,17385,2296,(NA),16933,2633,4879,1214,4686,623,877,1276,745,(NA),(NA),2040,(NA),(NA),(NA),(NA),257,13710,7179,396,100,3614,336,2732,3197,210,534,2590,722,548,1320
1/1/01,58227,45543,25451,18749,16512,2237,(NA),16304,2632,4702,1203,4346,607,873,1235,706,(NA),(NA),1466,(NA),(NA),(NA),(NA),205,12684,6763,394,124,3291,345,2609,2671,216,562,2472,712,491,1269
2/1/01,56100,43701,24091,18290,15992,2298,(NA),16022,2402,4486,1212,4538,603,847,1199,735,(NA),(NA),1374,(NA),(NA),(NA),(NA),206,12399,6557,368,102,3187,326,2574,2619,195,566,2462,698,534,1231
3/1/01,63912,50096,28471,21338,18909,2429,(NA),17321,2706,4911,1226,4801,637,917,1288,835,(NA),(NA),1505,(NA),(NA),(NA),(NA),199,13816,6991,383,114,3421,325,2748,3390,214,606,2615,758,595,1263
4/1/01,68523,52827,30886,22456,19960,2495,(NA),17274,2622,4684,1211,5057,664,962,1263,812,(NA),(NA),1607,(NA),(NA),(NA),(NA),210,15696,7613,414,130,3773,337,2960,4344,258,525,2957,853,696,1408
5/1/01,74380,56749,33901,24083,21437,2646,(NA),17371,2505,4618,1232,5173,682,1026,1299,836,(NA),(NA),1917,(NA),(NA),(NA),(NA),227,17630,7901,446,108,4009,360,2979,5671,232,633,3193,894,707,1592
6/1/01,79021,60071,36165,25346,22686,2660,(NA),18061,2731,4709,1286,5335,703,1141,1286,870,(NA),(NA),1684,(NA),(NA),(NA),(NA),273,18950,8349,444,126,4410,385,2984,6484,258,582,3279,931,777,1571
7/1/01,79668,60498,37120,26089,23511,2578,(NA),17810,2661,4416,1301,5517,742,1142,1224,809,(NA),(NA),1590,(NA),(NA),(NA),(NA),267,19171,8619,396,125,5032,351,2715,6486,239,548,3279,885,778,1616
8/1/01,81022,60747,37298,26475,23797,2679,(NA),17504,2573,4166,1266,5483,782,1223,1218,792,(NA),(NA),1796,(NA),(NA),(NA),(NA),286,20276,9068,407,125,5412,356,2769,6796,269,673,3469,971,778,1721
9/1/01,78206,58870,36360,25920,23380,2540,(NA),17059,2570,4031,1212,5385,765,1148,1226,723,(NA),(NA),1556,(NA),(NA),(NA),(NA),279,19336,8778,434,211,4896,396,2840,5921,303,901,3432,934,811,1688
10/1/01,77046,58379,35595,25410,22793,2617,(NA),17040,2271,4172,1172,5430,775,1148,1269,803,(NA),(NA),1749,(NA),(NA),(NA),(NA),253,18668,8565,474,78,4656,362,2996,6049,196,512,3346,974,766,1606
11/1/01,72591,55781,34394,24367,21761,2606,(NA),15893,1931,3895,1133,5121,750,1108,1186,769,(NA),(NA),1682,(NA),(NA),(NA),(NA),228,16810,7825,465,116,4137,355,2752,4925,245,597,3219,964,747,1508
12/1/01,63856,49235,28591,20867,18347,2520,(NA),14675,1916,3471,1036,4577,675,1056,1217,728,(NA),(NA),1644,(NA),(NA),(NA),(NA),221,14621,7378,472,198,3812,346,2551,3587,220,564,2873,767,680,1426
1/1/02,59631,45870,27340,19742,17195,2547,(NA),13764,1588,3301,966,4372,667,989,1224,658,(NA),(NA),1351,(NA),(NA),(NA),(NA),180,13762,7233,412,112,3806,393,2510,3250,187,574,2518,786,573,1159
2/1/02,57773,44143,26118,19375,16928,2447,(NA),13337,1459,3084,899,4365,636,965,1258,672,(NA),(NA),1378,(NA),(NA),(NA),(NA),185,13630,7245,419,173,3830,361,2462,3033,182,609,2562,782,593,1187
3/1/02,64136,50233,31002,22888,20323,2565,(NA),13856,1474,3178,895,4625,657,1031,1321,676,(NA),(NA),1413,(NA),(NA),(NA),(NA),199,13903,7313,412,154,3851,354,2541,3020,220,656,2694,822,593,1280
4/1/02,69637,53782,33914,24153,21303,2850,(NA),14461,1451,3309,984,4791,707,1121,1382,716,(NA),(NA),1525,(NA),(NA),(NA),(NA),199,15856,8047,448,170,4373,377,2679,3912,214,613,3069,887,683,1498
5/1/02,74424,56388,36854,25615,22684,2931,(NA),14452,1453,3265,960,4762,692,1153,1439,729,(NA),(NA),1540,(NA),(NA),(NA),(NA),191,18036,8535,444,166,4729,386,2810,5248,264,628,3362,983,764,1615
6/1/02,77799,58813,39117,26782,23886,2896,(NA),14390,1497,3115,876,4827,683,1131,1532,730,(NA),(NA),1558,(NA),(NA),(NA),(NA),212,18986,9039,487,164,5107,407,2874,5819,260,619,3249,973,760,1517
7/1/02,79790,59745,39951,27705,24842,2863,(NA),14067,1400,3156,831,4713,684,1129,1465,689,(NA),(NA),1620,(NA),(NA),(NA),(NA),202,20045,9392,488,155,5532,426,2790,6471,283,631,3268,980,703,1584
8/1/02,80474,59123,39966,27606,24715,2891,(NA),14190,1308,3111,789,4873,739,1155,1483,733,(NA),(NA),1538,(NA),(NA),(NA),(NA),244,21352,9998,496,187,5907,413,2996,6902,246,696,3510,1040,746,1724
9/1/02,79378,57867,38994,27389,24662,2727,(NA),14068,1256,3074,783,4987,693,1044,1548,683,(NA),(NA),1364,(NA),(NA),(NA),(NA),238,21511,9617,508,153,5396,483,3078,6917,334,1024,3620,1034,802,1785
10/1/02,78219,58460,38871,27209,24487,2722,(NA),14355,1276,3115,806,4980,708,1100,1633,738,(NA),(NA),1650,(NA),(NA),(NA),(NA),227,19759,9183,477,157,5004,428,3117,6146,181,605,3643,1018,839,1786
11/1/02,74423,56478,37496,26535,23943,2592,(NA),13805,1251,3078,753,4634,716,1066,1663,643,(NA),(NA),1463,(NA),(NA),(NA),(NA),226,17945,8627,469,160,4541,453,3004,4969,255,648,3446,952,765,1728
12/1/02,65238,49594,31899,23452,20922,2530,(NA),12337,1169,2792,745,3950,636,958,1487,601,(NA),(NA),1625,(NA),(NA),(NA),(NA),179,15644,7842,448,155,4079,450,2709,3928,298,634,2943,815,707,1421
